y_class,QuantitySold,year,month,day,dayofweek,is_weekend,h_item,h_branch,h_invoice,h_item_branch,h_item_month
2,12,2025,4,26,5,1,773,113,2661,3382,1930
2,15,2025,4,26,5,1,567,113,2302,2899,3022
2,10,2025,4,26,5,1,927,113,2302,4519,3259
2,15,2025,4,26,5,1,324,113,2302,4240,4722
1,5,2025,4,26,5,1,1267,113,2302,4976,2907
2,10,2025,4,26,5,1,1660,113,2302,3841,2495
2,22,2025,4,26,5,1,754,113,2302,2608,1067
2,15,2025,4,26,5,1,908,113,2302,2410,4225
2,24,2025,4,26,5,1,740,113,2302,1632,1563
2,12,2025,4,26,5,1,1505,113,2302,89,102
2,15,2025,4,26,5,1,1773,27,176,4538,4238
1,8,2025,4,26,5,1,1478,113,2302,187,1389
2,12,2025,4,26,5,1,443,113,2302,3776,4186
1,8,2025,4,26,5,1,761,113,2302,3060,1331
2,12,2025,4,26,5,1,557,113,2302,2034,2563
2,60,2025,4,26,5,1,1393,59,2257,4858,1947
2,120,2025,4,26,5,1,1811,59,2257,3645,2681
2,300,2025,4,26,5,1,776,59,2257,2516,4298
2,90,2025,4,26,5,1,1134,158,2257,1072,3156
2,50,2025,4,26,5,1,1755,27,2257,2541,1787
2,10,2025,4,26,5,1,1174,113,2302,1600,1504
1,8,2025,4,26,5,1,1921,113,2302,1623,3268
1,4,2025,4,26,5,1,566,165,1057,219,3702
0,2,2025,4,26,5,1,1553,27,491,3467,3644
1,6,2025,4,26,5,1,717,27,491,2662,4898
2,10,2025,4,26,5,1,948,27,491,4884,4416
0,1,2025,4,26,5,1,86,27,183,1021,3336
0,2,2025,4,26,5,1,1449,27,183,2813,2403
0,1,2025,4,26,5,1,694,27,183,1736,3857
0,3,2025,4,26,5,1,1889,27,183,3758,3961
0,2,2025,4,26,5,1,3,27,183,4592,4182
0,1,2025,4,26,5,1,1628,27,183,4013,4480
0,2,2025,4,26,5,1,442,27,183,4133,3205
0,1,2025,4,26,5,1,758,27,3195,2640,1348
1,5,2025,4,26,5,1,1456,27,183,4080,4180
2,9,2025,4,26,5,1,333,27,2338,4171,1744
1,5,2025,4,26,5,1,1195,27,2338,3900,496
1,5,2025,4,26,5,1,754,27,2338,1446,1067
0,3,2025,4,26,5,1,1874,27,2338,4210,3091
0,2,2025,4,26,5,1,425,27,2338,1294,3756
0,2,2025,4,26,5,1,1628,27,2338,4013,4480
1,4,2025,4,26,5,1,1461,27,2338,171,2898
0,1,2025,4,26,5,1,333,27,3195,4171,1744
2,16,2025,4,26,5,1,1205,27,3195,3195,1351
0,2,2025,4,26,5,1,1077,27,491,4782,4746
0,1,2025,4,26,5,1,586,27,183,3461,3008
0,1,2025,4,26,5,1,133,27,3195,912,1017
0,2,2025,4,26,5,1,1950,113,1585,616,2584
0,1,2025,4,26,5,1,1261,27,3195,3405,4624
0,1,2025,4,26,5,1,1897,27,3195,4323,3308
2,10,2025,4,26,5,1,1397,27,3234,1643,476
2,10,2025,4,26,5,1,1948,27,3234,1941,4138
1,5,2025,4,26,5,1,661,27,3234,4698,4513
2,10,2025,4,26,5,1,1449,27,3234,2813,2403
0,2,2025,4,26,5,1,542,27,3234,1508,169
0,2,2025,4,26,5,1,133,27,3234,912,1017
1,5,2025,4,26,5,1,1504,27,3234,4836,1727
0,1,2025,4,26,5,1,566,158,1429,3086,3702
0,2,2025,4,26,5,1,555,27,4455,321,4935
0,3,2025,4,26,5,1,1870,27,4455,1617,1011
2,10,2025,4,26,5,1,1174,27,4455,4353,1504
1,4,2025,4,26,5,1,1948,27,4455,1941,4138
0,2,2025,4,26,5,1,661,27,4455,4698,4513
1,7,2025,4,26,5,1,567,27,4455,910,3022
0,3,2025,4,26,5,1,1515,27,4455,1236,155
2,10,2025,4,26,5,1,693,27,4455,1201,616
0,2,2025,4,26,5,1,1048,27,4455,646,1173
0,2,2025,4,26,5,1,1873,27,4455,3080,1908
1,5,2025,4,26,5,1,1115,27,4455,4515,2954
2,10,2025,4,26,5,1,200,27,4455,1097,3782
1,5,2025,4,26,5,1,1593,27,4455,4793,1275
0,2,2025,4,26,5,1,1325,27,4455,2007,885
0,3,2025,4,26,5,1,127,113,2408,2120,4391
2,10,2025,4,26,5,1,1174,27,3952,4353,1504
0,2,2025,4,26,5,1,259,158,1516,1399,4934
0,2,2025,4,26,5,1,978,158,1516,2085,3780
1,4,2025,4,26,5,1,1245,158,1516,1365,1898
1,5,2025,4,26,5,1,1663,158,1516,3779,3580
1,4,2025,4,26,5,1,410,158,1516,1133,585
1,5,2025,4,26,5,1,1704,113,1585,2221,2645
1,4,2025,4,26,5,1,440,27,3195,4463,987
1,5,2025,4,26,5,1,1174,113,1585,1600,1504
2,9,2025,4,26,5,1,600,158,4370,675,2109
2,10,2025,4,26,5,1,281,158,4370,1599,3990
2,9,2025,4,26,5,1,495,158,4370,2310,2977
2,10,2025,4,26,5,1,705,158,4370,1643,2713
1,4,2025,4,26,5,1,1234,158,4370,3514,3992
2,12,2025,4,26,5,1,0,27,4370,3265,595
0,1,2025,4,26,5,1,758,158,4000,4082,1348
0,2,2025,4,26,5,1,970,158,4000,1476,2223
0,1,2025,4,26,5,1,1848,158,4000,2953,4543
0,1,2025,4,26,5,1,566,27,3195,957,3702
2,24,2025,4,26,5,1,740,165,1057,2442,1563
1,4,2025,4,26,5,1,602,27,491,2094,2006
2,12,2025,4,26,5,1,716,165,999,1342,1542
2,12,2025,4,26,5,1,813,165,638,2466,2859
1,4,2025,4,26,5,1,1296,165,999,2393,4445
2,16,2025,4,26,5,1,1245,165,3222,973,1898
1,4,2025,4,26,5,1,240,165,999,1597,4615
0,2,2025,4,26,5,1,525,165,999,1536,835
2,12,2025,4,26,5,1,813,165,538,2466,2859
1,4,2025,4,26,5,1,566,165,538,219,3702
1,4,2025,4,26,5,1,410,165,538,1432,585
0,3,2025,4,26,5,1,1134,165,3379,3714,3156
2,12,2025,4,26,5,1,1393,165,3379,1600,1947
1,4,2025,4,26,5,1,1897,165,3379,4007,3308
1,4,2025,4,26,5,1,761,165,3379,54,1331
0,3,2025,4,26,5,1,776,165,3379,1200,4298
2,20,2025,4,26,5,1,639,27,2037,2526,4418
1,4,2025,4,26,5,1,1721,27,2037,1027,2660
1,4,2025,4,26,5,1,1897,165,2520,4007,3308
1,4,2025,4,26,5,1,1478,165,4219,1483,1389
2,20,2025,4,26,5,1,1561,165,4219,278,646
2,24,2025,4,26,5,1,813,165,4329,2466,2859
2,12,2025,4,26,5,1,692,165,638,3461,3277
0,3,2025,4,26,5,1,776,165,538,1200,4298
2,12,2025,4,26,5,1,740,165,638,2442,1563
2,12,2025,4,26,5,1,740,165,4184,2442,1563
2,12,2025,4,26,5,1,740,165,4564,2442,1563
2,16,2025,4,26,5,1,1245,165,4564,973,1898
2,36,2025,4,26,5,1,692,165,4564,3461,3277
1,4,2025,4,26,5,1,1620,165,638,3717,2104
2,12,2025,4,26,5,1,566,165,4564,219,3702
0,3,2025,4,26,5,1,776,165,638,1200,4298
1,4,2025,4,26,5,1,761,165,638,54,1331
1,4,2025,4,26,5,1,410,165,638,1432,585
2,36,2025,4,26,5,1,1505,165,4564,4596,102
1,8,2025,4,26,5,1,566,165,4329,219,3702
1,4,2025,4,26,5,1,1478,165,4761,1483,1389
2,12,2025,4,26,5,1,1261,165,4564,2864,4624
2,12,2025,4,26,5,1,1897,165,4564,4007,3308
2,12,2025,4,26,5,1,813,165,4761,2466,2859
2,12,2025,4,26,5,1,740,165,4761,2442,1563
2,12,2025,4,26,5,1,813,165,4184,2466,2859
1,8,2025,4,26,5,1,566,165,4184,219,3702
1,8,2025,4,26,5,1,1245,165,4184,973,1898
2,24,2025,4,26,5,1,813,165,3222,2466,2859
1,4,2025,4,26,5,1,1245,165,638,973,1898
2,12,2025,4,26,5,1,1478,165,4564,1483,1389
2,20,2025,4,26,5,1,566,165,3222,219,3702
1,4,2025,4,26,5,1,761,158,2329,1361,1331
2,24,2025,4,26,5,1,740,165,3222,2442,1563
1,4,2025,4,26,5,1,566,165,576,219,3702
2,24,2025,4,26,5,1,1798,165,3222,2052,2569
1,6,2025,4,26,5,1,1055,165,3222,1559,1312
2,12,2025,4,26,5,1,813,165,4816,2466,2859
2,12,2025,4,26,5,1,692,165,4816,3461,3277
0,1,2025,4,26,5,1,1908,27,3656,4155,2017
0,1,2025,4,26,5,1,1061,27,3656,3938,2406
1,4,2025,4,26,5,1,1456,113,1342,3376,4180
2,12,2025,4,26,5,1,813,165,3183,2466,2859
2,12,2025,4,26,5,1,740,165,576,2442,1563
2,12,2025,4,26,5,1,692,165,3183,3461,3277
1,4,2025,4,26,5,1,1561,165,3183,278,646
0,2,2025,4,26,5,1,172,165,3183,1122,2466
1,4,2025,4,26,5,1,566,165,497,219,3702
1,4,2025,4,26,5,1,1245,165,497,973,1898
2,12,2025,4,26,5,1,692,165,4242,3461,3277
1,8,2025,4,26,5,1,1245,165,4242,973,1898
2,12,2025,4,26,5,1,740,165,4242,2442,1563
1,4,2025,4,26,5,1,1334,165,4242,2056,304
2,12,2025,4,26,5,1,1166,165,4242,4444,3281
1,8,2025,4,26,5,1,1245,165,3183,973,1898
1,4,2025,4,26,5,1,566,165,3175,219,3702
2,15,2025,4,26,5,1,1704,113,984,2221,2645
1,8,2025,4,26,5,1,410,165,1057,1432,585
1,8,2025,4,26,5,1,566,165,2329,219,3702
2,15,2025,4,26,5,1,567,113,984,2899,3022
2,15,2025,4,26,5,1,1265,113,984,2025,2888
2,10,2025,4,26,5,1,1449,113,984,2764,2403
2,20,2025,4,26,5,1,1161,113,984,2734,3241
2,15,2025,4,26,5,1,324,113,984,4240,4722
2,10,2025,4,26,5,1,285,113,984,3928,2844
2,15,2025,4,26,5,1,1115,113,984,632,2954
1,5,2025,4,26,5,1,1194,113,984,3478,3811
