Date,BranchID,InvoiceNumber,ItemCode,QuantitySold
2025-04-26,7,1,65391,12
2025-04-26,3,59,65320,3
2025-04-26,7,58,15039,1
2025-04-26,7,58,1063,2
2025-04-26,3,57,55793,2
2025-04-26,3,57,55548,5
2025-04-26,3,57,31544,5
2025-04-26,2,57,72965,5
2025-04-26,2,57,72476,5
2025-04-26,2,57,55793,3
2025-04-26,2,57,55548,5
2025-04-26,2,57,31253,20
2025-04-26,2,57,31252,20
2025-04-26,2,57,1597,10
2025-04-26,2,57,1281,8
2025-04-26,2,56,1792,15
2025-04-26,2,55,1440,5
2025-04-26,2,55,1439,10
2025-04-26,3,54,72940,60
2025-04-26,3,54,72274,4
2025-04-26,3,60,56954,2
2025-04-26,3,61,55234,6
2025-04-26,3,61,58723,10
2025-04-26,3,61,72928,10
2025-04-26,2,65,72967,1
2025-04-26,2,65,72939,1
2025-04-26,2,65,57931,4
2025-04-26,2,65,56216,8
2025-04-26,2,65,32608,4
2025-04-26,3,64,72233,5
2025-04-26,3,64,65451,3
2025-04-26,3,64,58837,5
2025-04-26,3,64,58386,5
2025-04-26,3,54,72157,5
2025-04-26,3,64,56814,5
2025-04-26,3,64,1176,4
2025-04-26,3,64,1125,3
2025-04-26,3,64,1065,5
2025-04-26,3,64,1064,4
2025-04-26,3,64,1002,3
2025-04-26,3,63,31077,2
2025-04-26,3,62,58842,13
2025-04-26,3,62,55304,10
2025-04-26,3,62,55294,10
2025-04-26,3,64,31075,5
2025-04-26,3,66,58358,5
2025-04-26,3,54,71684,60
2025-04-26,3,54,71354,10
2025-04-26,3,49,1064,15
2025-04-26,3,49,691,2
2025-04-26,2,48,72767,3
2025-04-26,2,48,72763,3
2025-04-26,2,48,71199,4
2025-04-26,2,48,71080,4
2025-04-26,2,48,58783,2
2025-04-26,2,48,56954,10
2025-04-26,2,48,56814,5
2025-04-26,2,48,56673,4
2025-04-26,2,48,1784,3
2025-04-26,2,48,996,5
2025-04-26,3,47,58776,10
2025-04-26,2,46,65099,4
2025-04-26,2,46,65014,12
2025-04-26,2,45,65014,12
2025-04-26,2,44,65679,3
2025-04-26,2,44,56776,5
2025-04-26,3,43,72499,10
2025-04-26,3,49,65118,10
2025-04-26,2,50,58485,2
2025-04-26,3,52,1002,2
2025-04-26,3,52,1486,2
2025-04-26,3,54,65636,22
2025-04-26,3,54,58950,10
2025-04-26,3,54,57784,10
2025-04-26,3,54,56971,50
2025-04-26,3,54,32053,20
2025-04-26,3,54,32050,30
2025-04-26,3,54,31582,80
2025-04-26,3,54,31190,50
2025-04-26,3,54,17379,10
2025-04-26,3,54,71602,120
2025-04-26,3,54,17202,2
2025-04-26,3,54,1119,40
2025-04-26,2,54,72157,2
2025-04-26,2,54,71119,10
2025-04-26,2,53,1225,1
2025-04-26,3,52,65099,4
2025-04-26,3,52,65095,4
2025-04-26,3,52,65013,4
2025-04-26,3,52,55108,4
2025-04-26,3,52,19098,2
2025-04-26,3,54,1597,40
2025-04-26,3,66,59088,10
2025-04-26,3,67,59066,1
2025-04-26,3,67,59067,1
2025-04-26,3,89,72205,20
2025-04-26,3,89,58809,3
2025-04-26,3,89,56358,3
2025-04-26,3,89,29052,4
2025-04-26,3,88,72399,2
2025-04-26,3,88,65588,3
2025-04-26,3,88,31592,4
2025-04-26,2,87,59255,1
2025-04-26,2,87,59254,1
2025-04-26,3,86,72989,4
2025-04-26,3,86,2063,4
2025-04-26,3,85,72749,3
2025-04-26,3,84,72960,10
2025-04-26,3,84,58877,10
2025-04-26,3,84,55223,10
2025-04-26,3,84,31029,10
2025-04-26,3,83,31077,2
2025-04-26,3,83,2061,2
2025-04-26,3,82,56809,5
2025-04-26,2,90,31590,1
2025-04-26,2,90,65054,2
2025-04-26,2,91,72536,1
2025-04-26,7,92,55487,12
2025-04-26,1,96,72327,30
2025-04-26,1,96,71833,2
2025-04-26,1,96,71832,120
2025-04-26,1,96,71829,40
2025-04-26,1,96,65320,40
2025-04-26,1,96,65095,40
2025-04-26,1,96,65094,120
2025-04-26,1,96,65090,4
2025-04-26,2,95,65014,180
2025-04-26,3,82,55758,3
2025-04-26,1,95,65101,180
2025-04-26,1,95,65094,180
2025-04-26,1,95,65013,60
2025-04-26,1,95,65012,360
2025-04-26,1,95,65011,140
2025-04-26,1,95,65010,240
2025-04-26,3,94,72463,10
2025-04-26,3,94,58726,10
2025-04-26,7,93,32050,10
2025-04-26,7,93,17176,10
2025-04-26,1,95,65095,140
2025-04-26,3,82,55746,3
2025-04-26,2,81,65095,8
2025-04-26,3,80,72488,3
2025-04-26,2,74,1785,4
2025-04-26,2,74,1601,5
2025-04-26,2,74,1439,4
2025-04-26,2,74,1065,3
2025-04-26,2,74,1003,2
2025-04-26,2,74,999,5
2025-04-26,2,73,32735,4
2025-04-26,7,72,59152,2
2025-04-26,3,71,31585,4
2025-04-26,2,74,15038,3
2025-04-26,3,70,71370,2
2025-04-26,3,70,1176,2
2025-04-26,3,69,65679,3
2025-04-26,3,68,72194,3
2025-04-26,3,68,57933,1
2025-04-26,2,68,72459,2
2025-04-26,2,68,71366,4
2025-04-26,2,68,65428,2
2025-04-26,2,68,56673,3
2025-04-26,2,68,31077,2
2025-04-26,3,70,59087,2
2025-04-26,3,43,71054,10
2025-04-26,2,74,31592,4
2025-04-26,2,74,55304,2
2025-04-26,3,80,57049,5
2025-04-26,3,80,55304,5
2025-04-26,3,80,15038,5
2025-04-26,3,79,65446,10
2025-04-26,3,79,59314,2
2025-04-26,3,79,58723,4
2025-04-26,3,79,31077,10
2025-04-26,3,78,55234,2
2025-04-26,2,77,57079,1
2025-04-26,2,74,55045,2
2025-04-26,2,77,17057,1
2025-04-26,3,76,1951,70
2025-04-26,7,75,65054,20
